Alcippe peracensis_alkipa hôrna
Alcippe poioicephala_alkipa hnedolíca
Alcippe pyrrhoptera_alkipa jávska
Aleadryas rufinucha_schovánok žltobradý
Alectoris barbara_Barbary Partridge
Alectoris chukar_kuropta čukar
Alectoris graeca_kuropta horská
Alectoris rufa_kuropta červená
Alectura lathami_tabon morkovitý
Alethe castanea_aleta ohnivohlavá
Alethe diademata_aleta korunkatá
Alipiopsitta xanthops_amazoňan žltobruchý
Alisterus scapularis_kráľčik červenohlavý
Alophoixus flaveolus_bylbyl hnedochochlatý
Alophoixus longirostris_Sula Golden-Bulbul
Alophoixus ochraceus_bylbyl okrový
Alophoixus pallidus_bylbyl sivolíci
Alophoixus phaeocephalus_bylbyl zlatý
Alopochelidon fucata_lastovička savanová
Alopochen aegyptiaca_húska štíhla
Amalocichla incerta_pitovec malý
Amandava amandava_amandava bodkovaná
Amaurolimnas concolor_chriašteľ jednofarebný
Amaurornis cinerea_White-browed Crake
Amaurornis isabellina_chriašť ryžový
Amaurornis moluccanus_chriašť nočný
Amaurornis phoenicurus_chriašť bieloprsý
Amaurospiza aequatorialis_pápežík ekvádorský
Amaurospiza concolor_pápežík smútočný
Amaurospiza moesta_pápežík tmavý
Amazilia amabilis_kolibrík modroprsý
Amazilia amazilia_kolibrík hájový
Amazilia beryllina_kolibrík smaragdový
Amazilia brevirostris_kolibrík lužný
Amazilia candida_kolibrík družný
Amazilia castaneiventris_kolibrík hrdzavobruchý
Amazilia chionogaster_kolibrík bielobruchý
Amazilia cyanifrons_kolibrík indigový
Amazilia cyanocephala_Azure-crowned Hummingbird
Amazilia decora_kolibrík ozdobný
Amazilia edward_kolibrík zlatochrbtý
Amazilia fimbriata_kolibrík trblietavý
Amazilia franciae_kolibrík andský
Amazilia lactea_kolibrík jagavý
Amazilia leucogaster_kolibrík svetlobruchý
Amazilia luciae_kolibrík honduraský
Amazilia rosenbergi_kolibrík fialovoprsý
Amazilia rutila_kolibrík škoricový
Amazilia saucerottei_kolibrík plantážový
Amazilia tobaci_kolibrík bránivý
Amazilia tzacatl_kolibrík hrdzavochvostý
Amazilia versicolor_kolibrík farbistý
Amazilia violiceps_kolibrík hnedo-biely
Amazilia viridicauda_kolibrík zeleno-biely
Amazilia yucatanensis_kolibrík hnedastobruchý
Amazona aestiva_amazoňan modročelý
Amazona agilis_amazoňan červenokrídly
Amazona albifrons_amazoňan bieločelý
Amazona amazonica_amazoňan kurika
Amazona auropalliata_amazoňan žltotylový
Amazona autumnalis_amazoňan žltolíci
Amazona brasiliensis_amazoňan červenochvostý
Amazona dufresniana_amazoňan tmavozobý
Amazona farinosa_amazoňan džungľový
Amazona festiva_amazoňan modrobradý
Amazona finschi_amazoňan fialovohlavý
Amazona guatemalae_amazoňan zelenkavý
Amazona kawalli_amazoňan bielolíci
Amazona leucocephala_amazoňan bielohlavý
Amazona mercenaria_amazoňan zelený
Amazona ochrocephala_amazoňan štvorfarebný
Amazona oratrix_amazoňan žltohlavý
Amazona rhodocorytha_amazoňan belavolíci
Amazona tucumana_amazoňan nádherný
Amazona ventralis_amazoňan korunkatý
Amazona vinacea_amazoňan vínovoprsý
Amazona viridigenalis_amazoňan červenočelý
Amazona xantholora_amazoňan belizský
Amazonetta brasiliensis_kačica amazoňanka
Amblycercus holosericeus_čašovec žltozobý
Amblyornis inornata_záhradkár bezchochlatý
Amblyornis newtoniana_Golden Bowerbird
Amblyospiza albifrons_zobanka hrubozobá
Amblyramphus holosericeus_vlhovec šarlátový
Ammodramus aurifrons_strnádlik prieložný
Ammodramus humeralis_strnádlik úhorový
Ammodramus savannarum_strnádlik savanový
Ammomanes cinctura_škovránok púštny
Ammomanes deserti_škovránok bledý
Ammomanes phoenicura_škovránok hrdzavý
Ammonastes pelzelni_Gray-bellied Antbird
Ammoperdix heyi_čiľ piesočný
Ammospiza caudacutus_Saltmarsh Sparrow
Ammospiza leconteii_LeConte's Sparrow
Ammospiza maritima_Seaside Sparrow
Ammospiza nelsoni_Nelson's Sparrow
Ampelioides tschudii_ovociar šupinatý
Ampelion rubrocristatus_chocholiar červenohrivý
Ampelion rufaxilla_chocholiar hnedohrivý
Ampelornis griseiceps_Gray-headed Antbird
Amphilais seebohmi_blatár sivý
Amphispiza bilineata_strnádlik čiernohrdlý
Amphispiza quinquestriata_strnádlik päťpásy
Anabacerthia amaurotis_lístiar stužkatý
Anabacerthia lichtensteini_Ochre-breasted Foliage-gleaner
Anabacerthia ruficaudata_Rufous-tailed Foliage-gleaner
Anabacerthia striaticollis_lístiar okuliarnatý
Anabacerthia variegaticeps_lístiar vločkatohrdlý
Anabathmis newtonii_nektárovka žltoprsá
Anabathmis reichenbachii_nektárovka palmová
Anabazenops dorsalis_lístiar bambusový
Anabazenops fuscus_lístiar bielokrký
Anairetes alpinus_čelenkár peruánsky
Anairetes fernandezianus_čelenkár ostrovný
Anairetes flavirostris_čelenkár žltozobý
Anairetes nigrocristatus_čelenkár čiernochochlatý
Anairetes parulus_čelenkár sýkorčí
Anairetes reguloides_čelenkár rožkatý
Anas acuta_kačica ostrochvostá
Anas andium_kačica andská
Anas carolinensis_kačica zelenokrídla
Anas castanea_kačica gaštanová
Anas crecca_kačica chrapka
Anas diazi_kačica mexická
Anas flavirostris_Yellow-billed Teal
Anas fulvigula_kačica pobrežná
Anas georgica_kačica jazerná
Anas gracilis_kačica svetlobradá
Anas platyrhynchos_kačica divá
Anas poecilorhyncha_Indian Spot-billed Duck
Anas rubripes_kačica černastá
Anas superciliosa_kačica pruhohlavá
Anas undulata_kačica šupinatá
Anas zonorhyncha_kačica čínska
Ancistrops strigilatus_lístiar háčikozobý
Andigena hypoglauca_tukaník tmavý
Andigena laminirostris_tukaník horský
Andigena nigrirostris_tukaník čiernozobý
Androdon aequatorialis_jagavička fŕkaná
Andropadus importunus_afrobyl bledooký
Anhima cornuta_anhima rohatá
Anhinga anhinga_anhinga jarabá
Anhinga melanogaster_anhinga tmavobruchá
Anhinga novaehollandiae_anhinga austrálska
Anisognathus igniventris_tangara červenobruchá
Anisognathus lacrymosus_tangara škvrnohlavá
Anisognathus notabilis_tangara zlatobruchá
Anisognathus somptuosus_tangara modrokrídla
Anodorhynchus hyacinthinus_ara hyacintová
Anodorhynchus leari_ara kobaltová
Anorrhinus galeritus_zobákorožec parochňový
Anorrhinus tickelli_zobákorožec hnedý
Anous minutus_nody bielohlavý
Anous stolidus_nody hnedý
Anser albifrons_hus bieločelá
Anser anser_hus divá
Anser brachyrhynchus_hus krátkozobá
Anser caerulescens_hus snežná
Anser canagicus_hus bielohlavá
Anser cygnoides_hus labutia
Anser erythropus_hus malá
Anser fabalis_hus siatinná
Anser indicus_hus vrchovská
Anser rossii_hus snežnička
Anser serrirostris_hus tundrová
Anseranas semipalmata_husiarka strakatá
Anthipes monileger_niltava bielohrdlá
Anthipes solitaris_niltava okuliarnatá
Anthochaera carunculata_Red Wattlebird
Anthochaera chrysoptera_medárik úhorový
Anthochaera lunulata_medárik kočovný
Anthochaera paradoxa_medárik veľký
Anthornis melanura_medárik makomako
Anthoscopus minutus_kúdeľníčka sivohlavá
Anthoscopus musculus_kúdeľníčka myšacia
Anthracoceros albirostris_zobákorožec bledozobý
Anthracoceros coronatus_zobákorožec strakatý
Anthracoceros malayanus_zobákorožec čierny
Anthracothorax dominicus_jagavička antilská
Anthracothorax nigricollis_jagavička čiernohrdlá
Anthracothorax prevostii_jagavička zelenoprsá
Anthreptes malacensis_nektárovka kokosová
Anthreptes orientalis_nektárovka savanová
Anthreptes simplex_nektárovka tmavočelá
Anthropoides paradiseus_Blue Crane
Anthropoides virgo_Demoiselle Crane
Anthus antarcticus_ľabtuška olivová
Anthus berthelotii_ľabtuška ostrovná
Anthus bogotensis_ľabtuška andská
Anthus brevirostris_Puna Pipit
Anthus campestris_ľabtuška poľná
Anthus cervinus_ľabtuška červenohrdlá
Anthus chacoensis_ľabtuška pampová
Anthus cinnamomeus_ľabtuška africká
Anthus correndera_ľabtuška korendera
Anthus crenatus_ľabtuška kameniarka
Anthus furcatus_ľabtuška krátkozobá
Anthus godlewskii_ľabtuška Godlewského
Anthus gustavi_ľabtuška bielopása
Anthus hellmayri_ľabtuška škoricová
Anthus hodgsoni_ľabtuška škvrnitá
Anthus leucophrys_ľabtuška hnedochrbtá
Anthus lineiventris_ľabtuška tmavolíca
Anthus lutescens_ľabtuška savanová
Anthus nattereri_ľabtuška okrovoprsá
Anthus novaeseelandiae_ľabtuška dlhoprstá
Anthus peruvianus_Peruvian Pipit
Anthus petrosus_ľabtuška skalná
Anthus pratensis_ľabtuška lúčna
Anthus richardi_ľabtuška veľká
Anthus roseatus_ľabtuška ružová
Anthus rubescens_ľabtuška okrová
Anthus rufulus_ľabtuška ryžová
Anthus similis_ľabtuška dlhozobá
Anthus spinoletta_ľabtuška vrchovská
Anthus spragueii_ľabtuška prériová
Anthus sylvanus_ľabtuška hnedá
Anthus trivialis_ľabtuška hôrna
Antigone antigone_Sarus Crane
Antigone canadensis_Sandhill Crane
Antigone rubicunda_Brolga
Antigone vipio_White-naped Crane
Antilophia bokermanni_pipra rohatka
Antilophia galeata_pipra prilbatá
Antrostomus arizonae_lelek mexický
Antrostomus badius_lelek mayský
Antrostomus carolinensis_lelek vido
Antrostomus noctitherus_lelek čiernohrdlý
Antrostomus ridgwayi_lelek obojkový
Antrostomus rufus_lelek hrdzavý
Antrostomus saturatus_lelek vrchársky
Antrostomus sericocaudatus_lelek hodvábny
Antrostomus vociferus_lelek hlasný
Anumara forbesi_vlhovec plantážový
Anumbius annumbi_raždiar anumbi
Anurolimnas castaneiceps_chriašteľ gaštanový
Anurolimnas fasciatus_Black-banded Crake
Anurolimnas viridis_Russet-crowned Crake
Apalis chapini_penička hrdzavohrdlá
Apalis cinerea_penička sivá
Apalis flavida_penička žltoprsá
Apalis melanocephala_penička čiernohlavá
Apalis personata_penička horská
Apalis porphyrolaema_penička hnedohrdlá
Apalis ruddi_penička čiernooká
Apalis rufogularis_penička lesná
Apalis sharpii_penička tmavá
Apalis thoracica_penička golierikatá
Apaloderma narina_trogónovec narina
Apaloderma vittatum_trogónovec pásochvostý
Aphanotriccus audax_pamuchár čiernozobý
Aphanotriccus capitalis_pamuchár hrdzavoprsý
Aphantochroa cirrochloris_kolibrík tmavý
Aphelocephala leucopsis_bieločelka bledoprsá
Aphelocoma californica_kapuciarka dubová
Aphelocoma coerulescens_kapuciarka modrohlavá
Aphelocoma insularis_kapuciarka ostrovná
Aphelocoma ultramarina_kapuciarka belasá
Aphelocoma unicolor_kapuciarka jednofarebná
Aphelocoma wollweberi_kapuciarka mexická
Aphelocoma woodhouseii_kapuciarka krovinová
Aphrastura spinicauda_špicochvost tŕňochvostý
Aplonis atrifusca_majna záhradná
Aplonis cantoroides_majna spevavá
