Alectoris graeca_欧石鸡
Alectoris rufa_紅腳石雞
Alectura lathami_叢塚雉
Alethe castanea_紅冠火冠鴝
Alethe diademata_白尾火冠鴝
Alipiopsitta xanthops_黃臉亞馬遜鸚哥
Alisterus scapularis_澳洲王鸚鵡
Alophoixus flaveolus_白喉冠鵯
Alophoixus longirostris_Sula Golden-Bulbul
Alophoixus ochraceus_白喉褐冠鵯
Alophoixus pallidus_灰頭白喉冠鵯
Alophoixus phaeocephalus_灰头冠鹎
Alopochelidon fucata_棕头燕
Alopochen aegyptiaca_埃及雁
Amalocichla incerta_小地鸲
Amandava amandava_紅梅花雀
Amaurolimnas concolor_純色秧雞
Amaurornis cinerea_White-browed Crake
Amaurornis isabellina_依莎貝蘭苦惡鳥
Amaurornis moluccanus_棕尾苦恶鸟
Amaurornis phoenicurus_白胸苦恶鸟
Amaurospiza aequatorialis_Ecuadorian Seedeater
Amaurospiza concolor_蓝籽雀
Amaurospiza moesta_黑蓝籽雀
Amazilia amabilis_蓝胸蜂鸟
Amazilia amazilia_艳蜂鸟
Amazilia beryllina_綠蜂鳥
Amazilia brevirostris_白胸蜂鳥
Amazilia candida_中美白腹蜂鳥
Amazilia castaneiventris_栗腹蜂鳥
Amazilia chionogaster_白腹蜂鳥
Amazilia cyanifrons_青顶蜂鸟
Amazilia cyanocephala_Azure-crowned Hummingbird
Amazilia decora_俏麗蜂鳥
Amazilia edward_雪胸蜂鳥
Amazilia fimbriata_輝胸蜂鳥
Amazilia franciae_安地斯蜂鳥
Amazilia lactea_蓝喉蜂鸟
Amazilia leucogaster_純腹蜂鳥
Amazilia luciae_宏都拉斯蜂鳥
Amazilia rosenbergi_紫胸蜂鳥
Amazilia rutila_桂紅蜂鳥
Amazilia saucerottei_灰腹蜂鸟
Amazilia tobaci_銅腰蜂鳥
Amazilia tzacatl_棕尾蜂鳥
Amazilia versicolor_虹彩蜂鳥
Amazilia violiceps_紫冠蜂鸟
Amazilia viridicauda_綠尾蜂鳥
Amazilia yucatanensis_棕腹蜂鳥
Amazona aestiva_蓝顶鹦哥
Amazona agilis_黑嘴亞馬遜鸚哥
Amazona albifrons_白額亞馬遜鸚哥
Amazona amazonica_橙翅亞馬遜鸚哥
Amazona auropalliata_黃頸亞馬遜鸚哥
Amazona autumnalis_紅眼先亞馬遜鸚哥
Amazona brasiliensis_紅尾亞馬遜鸚哥
Amazona dufresniana_蓝颊鹦哥
Amazona farinosa_斑点鹦哥
Amazona festiva_喜庆鹦哥
Amazona finschi_淡紫冠亞馬遜鸚哥
Amazona guatemalae_Northern Mealy Amazon
Amazona kawalli_卡氏白臉亞馬遜鸚哥
Amazona leucocephala_古巴亞馬遜鸚哥
Amazona mercenaria_鱗頸亞馬遜鸚哥
Amazona ochrocephala_黃冠亞馬遜鸚哥
Amazona oratrix_雙黃頭亞馬遜鸚鵡
Amazona rhodocorytha_紅眉亞馬遜鸚哥
Amazona tucumana_桤木鹦哥
Amazona ventralis_希斯潘諾拉亞馬遜鸚哥
Amazona vinacea_紅胸亞馬遜鸚哥
Amazona viridigenalis_紅冠亞馬遜鸚哥
Amazona xantholora_黃眼先亞馬遜鸚哥
Amazonetta brasiliensis_巴西凫
Amblycercus holosericeus_黃嘴酋長鳥
Amblyornis inornata_褐色园丁鸟
Amblyornis newtoniana_Golden Bowerbird
Amblyospiza albifrons_厚嘴織布鳥
Amblyramphus holosericeus_猩紅頭黑雀
Ammodramus aurifrons_黃額蠅鵐
Ammodramus humeralis_草地蝇鹀
Ammodramus savannarum_黃胸草鵐
Ammomanes cinctura_斑尾漠百灵
Ammomanes deserti_漠百灵
Ammomanes phoenicura_棕尾漠百灵
Ammonastes pelzelni_Gray-bellied Antbird
Ammoperdix heyi_沙鶉
Ammospiza caudacutus_Saltmarsh Sparrow
Ammospiza leconteii_LeConte's Sparrow
Ammospiza maritima_Seaside Sparrow
Ammospiza nelsoni_Nelson's Sparrow
Ampelioides tschudii_鱗斑食果雀
Ampelion rubrocristatus_紅冠傘鳥
Ampelion rufaxilla_栗冠伞鸟
Ampelornis griseiceps_Gray-headed Antbird
Amphilais seebohmi_灰短翅莺
Amphispiza bilineata_黑喉漠鵐
Amphispiza quinquestriata_五纹猛雀鹀
Anabacerthia amaurotis_白眉拾叶雀
Anabacerthia lichtensteini_Ochre-breasted Foliage-gleaner
Anabacerthia ruficaudata_Rufous-tailed Foliage-gleaner
Anabacerthia striaticollis_高山拾叶雀
Anabacerthia variegaticeps_鱗喉拾葉雀
Anabathmis newtonii_黃胸花蜜鳥
Anabathmis reichenbachii_瑞克氏花蜜鳥
Anabazenops dorsalis_冠拾叶雀
Anabazenops fuscus_白領拾葉雀
Anairetes alpinus_灰胸雀霸鶲
Anairetes fernandezianus_弗南多斯雀霸鹟
Anairetes flavirostris_黃嘴雀霸鶲
Anairetes nigrocristatus_黑冠雀霸鶲
Anairetes parulus_须雀霸鹟
Anairetes reguloides_斑冠雀霸鹟
Anas acuta_尖尾鴨〔針尾鴨〕
Anas andium_安地斯鴨
Anas carolinensis_美洲小水鴨〔綠翅鴨〕
Anas castanea_栗胸鴨
Anas crecca_小水鴨
Anas diazi_墨西哥鴨
Anas flavirostris_Yellow-billed Teal
Anas fulvigula_北美斑鸭
