Alectoris chukar_orebice čukar
Alectoris graeca_orebice horská
Alectoris rufa_orebice rudá
Alectura lathami_tabon lesní
Alethe castanea_drozdík hnědavý
Alethe diademata_drozdík ohnivotemenný
Alipiopsitta xanthops_amazoňan žlutobřichý
Alisterus scapularis_papoušek královský
Alophoixus flaveolus_bulbulec bělohrdlý
Alophoixus longirostris_Sula Golden-Bulbul
Alophoixus ochraceus_bulbulec okrový
Alophoixus pallidus_bulbulec jihoasijský
Alophoixus phaeocephalus_bulbulec šedočapkový
Alopochelidon fucata_vlaštovka rezavohlavá
Alopochen aegyptiaca_husice nilská
Amalocichla incerta_lejsčík menší
Amandava amandava_tygříček tečkovaný
Amaurolimnas concolor_chřástal stejnobarvý
Amaurornis cinerea_White-browed Crake
Amaurornis isabellina_chřástal celebeský
Amaurornis moluccanus_chřástal molucký
Amaurornis phoenicurus_chřástal běloprsý
Amaurospiza aequatorialis_Ecuadorian Seedeater
Amaurospiza concolor_louskač modrý
Amaurospiza moesta_louskač černomodrý
Amazilia amabilis_kolibřík modroprsý
Amazilia amazilia_kolibřík Amaziliin
Amazilia beryllina_kolibřík mexický
Amazilia brevirostris_kolibřík běloprsý
Amazilia candida_kolibřík chiapaský
Amazilia castaneiventris_kolibřík kaštanovobřichý
Amazilia chionogaster_kolibřík bělobřichý
Amazilia cyanifrons_kolibřík indigový
Amazilia cyanocephala_Azure-crowned Hummingbird
Amazilia decora_Charming Hummingbird
Amazilia edward_kolibřík Edwardův
Amazilia fimbriata_kolibřík zrcadlový
Amazilia franciae_kolibřík andský
Amazilia lactea_kolibřík safírový
Amazilia leucogaster_kolibřík atlantický
Amazilia luciae_kolibřík honduraský
Amazilia rosenbergi_kolibřík Rosenbergův
Amazilia rutila_kolibřík ryšavý
Amazilia saucerottei_kolibřík Saucerottův
Amazilia tobaci_kolibřík měděnořitý
Amazilia tzacatl_kolibřík rezavoocasý
Amazilia versicolor_kolibřík duhový
Amazilia violiceps_kolibřík fialovokorunkatý
Amazilia viridicauda_kolibřík zelenobílý
Amazilia yucatanensis_kolibřík yukatanský
Amazona aestiva_amazoňan modročelý
Amazona agilis_amazoňan černozobý
Amazona albifrons_amazoňan běločelý
Amazona amazonica_amazoňan oranžovokřídlý
Amazona auropalliata_Yellow-naped Parrot
Amazona autumnalis_amazoňan rudočelý
Amazona brasiliensis_amazoňan rudoocasý
Amazona dufresniana_amazoňan modrolící
Amazona farinosa_amazoňan pomoučený
Amazona festiva_amazoňan modrobradý
Amazona finschi_amazoňan fialovotemenný
Amazona guatemalae_Northern Mealy Amazon
Amazona kawalli_amazoňan Kawalův
Amazona leucocephala_amazoňan kubánský
Amazona mercenaria_amazoňan vojenský
Amazona ochrocephala_amazoňan žlutohlavý
Amazona oratrix_amazoňan velký
Amazona rhodocorytha_amazoňan rudooký
Amazona tucumana_amazoňan tukumanský
Amazona ventralis_amazoňan haitský
Amazona vinacea_amazoňan fialovoprsý
Amazona viridigenalis_amazoňan zelenolící
Amazona xantholora_amazoňan černouchý
Amazonetta brasiliensis_kachnička amazonská
Amblycercus holosericeus_trupiál žlutozobý
Amblyornis inornata_lemčík prostý
Amblyornis newtoniana_Golden Bowerbird
Amblyospiza albifrons_přádelník dlasčí
Amblyramphus holosericeus_vlhovec červenohlavý
Ammodramus aurifrons_strnadec zlatobrvý
Ammodramus humeralis_strnadec savanový
Ammodramus savannarum_strnadec pustinný
Ammomanes cinctura_skřivan pruhoocasý
Ammomanes deserti_skřivan pouštní
Ammomanes phoenicura_skřivan rehkovitý
